Settore,Numero_Aziende,Percentuale_Totale,Comune
Amministrazione,4,3.6,Figline Vegliaturo
Altro,23,4.0,Figline Vegliaturo
Industrie,28,13.4,Ripe San Ginesio
Servizi,21,4.2,Ripe San Ginesio
Amministrazione,13,1.6,Ripe San Ginesio
Altro,22,6.4,Ripe San Ginesio
Industrie,332,0.1197,Orbetello
Servizi,482,0.1146,Orbetello
Amministrazione,102,0.1163,Orbetello
Altro,484,0.1673,Orbetello
Industrie,76,74.6,Pove del Grappa
Servizi,71,21.8,Pove del Grappa
Amministrazione,2,0.1,Pove del Grappa
Altro,83,27.9,Pove del Grappa
Industrie,4,2.2,Mezzane di Sotto
Servizi,27,10.3,Mezzane di Sotto
Amministrazione,15,13.4,Mezzane di Sotto
Altro,38,14.0,Mezzane di Sotto
Industrie,42,16.1,Badia Tedalda
Servizi,32,6.0,Badia Tedalda
Amministrazione,15,3.1,Badia Tedalda
Altro,24,6.2,Badia Tedalda
Industrie,607,0.3124,Silea
Servizi,47,8.2,Silea
Amministrazione,35,31.5,Silea
Altro,68,24.4,Silea
Industrie,62,45.4,Pedavena
Servizi,54,11.5,Pedavena
Amministrazione,30,14.1,Pedavena
Altro,86,29.2,Pedavena
Industrie,12,15.7,Ottiglio
Servizi,25,3.5,Ottiglio
Amministrazione,3,1.0,Ottiglio
Altro,24,6.3,Ottiglio
Industrie,72,21.7,Vailate
Servizi,58,10.7,Vailate
Amministrazione,11,15.0,Vailate
Altro,64,16.2,Vailate
Industrie,93,40.5,Piscina
Servizi,59,10.0,Piscina
Amministrazione,21,6.8,Piscina
Altro,55,13.2,Piscina
Industrie,24,14.2,Camisano
Servizi,22,4.1,Camisano
Amministrazione,6,2.6,Camisano
Altro,18,4.2,Camisano
Industrie,8,2.5,Andrate
Servizi,11,2.5,Andrate
Amministrazione,7,0.7,Andrate
Altro,15,4.2,Andrate
Industrie,160,0.2531,Pregnana Milanese
Servizi,111,43.3,Pregnana Milanese
Amministrazione,31,32.1,Pregnana Milanese
Altro,118,44.7,Pregnana Milanese
Industrie,38,15.7,Mercallo
Servizi,31,5.7,Mercallo
Amministrazione,6,3.1,Mercallo
Altro,23,5.3,Mercallo
Industrie,107,45.7,Lezzeno
Servizi,46,9.2,Lezzeno
Amministrazione,14,3.6,Lezzeno
Altro,50,12.7,Lezzeno
