Laurea_Maschi,Laurea_Femmine,Laurea_Totale,Diploma_Maschi,Diploma_Femmine,Diploma_Totale,Licenza Media_Maschi,Licenza Media_Femmine,Licenza Media_Totale,Licenza Elementare_Maschi,Licenza Elementare_Femmine,Licenza Elementare_Totale,Alfabeti_Maschi,Alfabeti_Femmine,Alfabeti_Totale,Analfabeti_Maschi,Analfabeti_Femmine,Analfabeti_Totale,Comune
108,157,265,399,429,828,472,412,884,299,401,700,93,177,270,3,12,15,Manciano
542,574,1116,1168,1215,2383,800,778,1578,345,554,899,183,239,422,7,11,18,Monte Porzio Catone
41,47,88,153,152,305,176,120,296,82,103,185,37,59,96,2,6,8,Moscufo
699,813,1512,1172,1342,2514,615,577,1192,404,628,1032,168,250,418,26,61,87,Soverato
16,14,30,51,49,100,46,48,94,32,36,68,12,28,40,2,9,11,Vallerotonda
20,25,45,93,78,171,111,96,207,73,73,146,41,47,88,8,34,42,Stignano
15,14,29,46,40,86,42,25,67,36,73,109,10,22,32,2,5,7,Sant'Ilario dello Ionio
15,26,41,118,81,199,103,85,188,76,90,166,7,16,23,1,1,2,Paspardo
44,73,117,300,231,531,285,264,549,104,196,300,52,59,111,1,2,3,Fogliano Redipuglia
41,68,109,262,250,512,364,278,642,193,225,418,55,52,107,5,10,15,Pagazzano
1337,1487,2824,4181,4200,8381,3630,3469,7099,1707,2723,4430,702,811,1513,54,81,135,Bresso
40,58,98,210,196,406,333,278,611,132,180,312,67,56,123,8,2,10,Barzana
22,34,56,101,97,198,114,102,216,87,99,186,21,43,64,2,7,9,Castorano
100,116,216,357,308,665,366,285,651,262,335,597,109,210,319,20,41,61,Scerni
0,0,0,5,2,7,10,7,17,2,3,5,0,1,1,0,0,0,Barbona
36,38,74,216,177,393,142,171,313,89,140,229,27,44,71,38,49,87,Santa Maria la Longa
31,34,65,115,113,228,160,142,302,87,102,189,26,24,50,1,1,2,Malgesso
200,315,515,935,816,1751,1054,840,1894,481,720,1201,275,300,575,24,48,72,Mariglianella
72,94,166,185,210,395,165,139,304,102,146,248,27,29,56,1,3,4,Carate Urio
40,51,91,255,232,487,318,282,600,195,287,482,64,97,161,10,38,48,Corbola
506,712,1218,1363,1578,2941,1385,1259,2644,753,1014,1767,326,460,786,64,66,130,Sant'Agata di Militello
140,144,284,546,459,1005,583,552,1135,387,424,811,180,226,406,57,135,192,San Pietro a Maida
24,42,66,87,121,208,373,249,622,119,134,253,44,91,135,8,5,13,Seui
38,47,85,219,197,416,188,184,372,98,122,220,36,72,108,7,8,15,Pietralunga
27,39,66,108,93,201,121,79,200,78,106,184,21,38,59,12,14,26,Santo Stefano in Aspromonte
