Settore,Numero_Aziende,Addetti,Percentuale_Totale,Comune
Amministrazione,43,Addetti,19.9,Predappio
Altro,129,Addetti,38.9,Predappio
Industrie,2,Addetti,0.7,Montescano
Servizi,12,Addetti,2.4,Montescano
Amministrazione,5,Addetti,44.3,Montescano
Altro,16,Addetti,4.2,Montescano
Industrie,5,Addetti,5.1,San Leonardo
Servizi,31,Addetti,5.0,San Leonardo
Amministrazione,20,Addetti,5.8,San Leonardo
Altro,27,Addetti,5.8,San Leonardo
Industrie,3,Addetti,1.0,Poli
Servizi,31,Addetti,5.1,Poli
Amministrazione,6,Addetti,6.4,Poli
Altro,32,Addetti,23.5,Poli
Industrie,38,Addetti,12.0,Arnara
Servizi,35,Addetti,5.1,Arnara
Amministrazione,18,Addetti,5.8,Arnara
Altro,36,Addetti,7.3,Arnara
Industrie,2,Addetti,0.4,Vallo di Nera
Servizi,7,Addetti,1.2,Vallo di Nera
Amministrazione,4,Addetti,1.1,Vallo di Nera
Altro,9,Addetti,3.0,Vallo di Nera
Industrie,6,Addetti,13.5,Candiana
Servizi,31,Addetti,4.9,Candiana
Amministrazione,7,Addetti,13.5,Candiana
Altro,76,Addetti,18.7,Candiana
Industrie,322,Addetti,0.1254,Abano Terme
Servizi,634,Addetti,0.1667,Abano Terme
Amministrazione,126,Addetti,89.8,Abano Terme
